Experiment ID,Experiment type,Dataset,Data classes,MNIST_all_digits,Clients per cluster,Datapoints per client,Algorithm,MA vs GA,Total rounds,initial_model_parameters,first_round_client_to_cluster_assignment,Linear Delta,Model,Mix Mode,Exp Selector,Ablation_Param,K_is_unknown,Upper bound on K,Early stopping,Participation Rate
7003,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",50,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7004,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",100,100,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7004,Scaling with clients,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",200,100,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7011,Scaling with clients,CIFAR10,10,,10,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7012,Scaling with clients,CIFAR10,10,,20,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7013,Scaling with clients,CIFAR10,10,,50,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7014,Scaling with clients,CIFAR10,10,,100,100,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7015,Scaling with clients,CIFAR10,10,,200,100,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7021,Scaling with clients,FMNIST,10,,10,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7022,Scaling with clients,FMNIST,10,,20,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7023,Scaling with clients,FMNIST,10,,50,200,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7024,Scaling with clients,FMNIST,10,,100,100,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
7025,Scaling with clients,FMNIST,10,,200,100,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp203,,,,,
4001,Variable K,MNIST,5,"[5,6,7,8,9]",2,100,CLoVE,MA,20,different,random,,AE,no_mixture,,,TRUE,10,,
4002,Variable K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,500,CLoVE,MA,30,different,random,,AE,no_mixture,,,TRUE,20,TRUE,0.4
4003,Variable K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,1000,CLoVE,MA,60,different,evaluation_based,,AE,no_mixture,,,TRUE,20,TRUE,0.4
4004,Variable K,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",2,1000,CLoVE,MA,60,different,evaluation_based,,AE,no_mixture,,,TRUE,20,FALSE,0.4
8000,Early stopping Unknown K,CIFAR10,10,,3,1000,CLoVE,MA,100,different,evaluation_based,,CNN,zipped_with_overlap,exp204,,TRUE,15,TRUE,1
